type,time,actor_id,cluster,energy,price
-1.0,1,residential_1,0,0.49,1.0
-1.0,1,residential_2,0,0.99,1.0
1.0,1,market_maker,,9.22337e+18,1.0
-1.0,1,market_maker,,9.22337e+18,1.0
1,1.0,market_maker,,9.223372036854776e+18,1.0
-1,1.0,market_maker,,9.223372036854776e+18,1.0
-1.0,2,residential_1,0,1.0,1.0
-1.0,2,residential_2,0,1.0,1.0
1.0,2,market_maker,,1.844674e+19,1.0
-1.0,2,market_maker,,1.844674e+19,1.0
1,2.0,market_maker,,9.223372036854776e+18,1.0
-1,2.0,market_maker,,9.223372036854776e+18,1.0
-1.0,3,residential_1,0,0.5,1.0
-1.0,3,residential_2,0,1.0,1.0
1.0,3,market_maker,,2.767011e+19,1.0
-1.0,3,market_maker,,2.767011e+19,1.0
1,3.0,market_maker,,9.223372036854776e+18,1.0
-1,3.0,market_maker,,9.223372036854776e+18,1.0
1.0,4,residential_1,0,0.5,1.0
-1.0,4,residential_2,0,1.0,1.0
1.0,4,market_maker,,3.689348e+19,1.0
-1.0,4,market_maker,,3.689348e+19,1.0
1,4.0,market_maker,,9.223372036854776e+18,1.0
-1,4.0,market_maker,,9.223372036854776e+18,1.0
