Time,load,pv,schedule,price
2016-01-01 00:00:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,1.0
2016-01-01 00:15:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,1.0
2016-01-01 00:30:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,1.0
2016-01-01 00:45:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,1.0
2016-01-01 01:00:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,0.9473166896009435
2016-01-01 01:15:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,0.9473166896009435
2016-01-01 01:30:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,0.9473166896009435
2016-01-01 01:45:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,0.9473166896009435
2016-01-01 02:00:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,0.8783172793394928
2016-01-01 02:15:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,0.8783172793394928
2016-01-01 02:30:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,0.8783172793394928
2016-01-01 02:45:00,9.223372036854776e+18,0.0,-9.223372036854776e+18,0.8783172793394928
