time,bid_id,ask_id,bid_actor,ask_actor,bid_cluster,ask_cluster,energy,price,included_grid_fee
1,2,0,residential_1,MarketMaker,0,,0.04,0.05087,0
1,3,0,residential_2,MarketMaker,0,,0.01,0.05087,0
2,2,0,residential_1,MarketMaker,0,,0.03,0.05087,0
2,3,0,residential_2,MarketMaker,0,,0.02,0.05087,0
3,2,0,residential_1,MarketMaker,0,,0.04,0.05087,0
3,3,0,residential_2,MarketMaker,0,,0.02,0.05087,0
4,2,0,residential_1,MarketMaker,0,,0.04,0.04819,0
4,3,0,residential_2,MarketMaker,0,,0.01,0.04819,0
5,2,0,residential_1,MarketMaker,0,,0.04,0.04819,0
5,3,0,residential_2,MarketMaker,0,,0.01,0.04819,0
